#color	qs_freq	laser%	cutspd	hatang	hatspc	hatpat	repeat	
101010	30	30	100	90	40	None	1	
201010	35	30	100	90	40	None	1	
301010	40	30	100	90	40	None	1	
401010	45	30	100	90	40	None	1	
501010	30	50	100	90	40	None	1	
601010	35	50	100	90	40	None	1	
701010	40	50	100	90	40	None	1	
801010	45	50	100	90	40	None	1	
901010	30	70	100	90	40	None	1	
a01010	35	70	100	90	40	None	1	
b01010	40	70	100	90	40	None	1	
c01010	45	70	100	90	40	None	1	
102010	30	30	300	90	40	None	1	
202010	35	30	300	90	40	None	1	
302010	40	30	300	90	40	None	1	
402010	45	30	300	90	40	None	1	
502010	30	50	300	90	40	None	1	
602010	35	50	300	90	40	None	1	
702010	40	50	300	90	40	None	1	
802010	45	50	300	90	40	None	1	
902010	30	70	300	90	40	None	1	
a02010	35	70	300	90	40	None	1	
b02010	40	70	300	90	40	None	1	
c02010	45	70	300	90	40	None	1	
103010	30	30	500	90	40	None	1	
203010	35	30	500	90	40	None	1	
303010	40	30	500	90	40	None	1	
403010	45	30	500	90	40	None	1	
503010	30	50	500	90	40	None	1	
603010	35	50	500	90	40	None	1	
703010	40	50	500	90	40	None	1	
803010	45	50	500	90	40	None	1	
903010	30	70	500	90	40	None	1	
a03010	35	70	500	90	40	None	1	
b03010	40	70	500	90	40	None	1	
c03010	45	70	500	90	40	None	1	
104010	30	30	700	90	40	None	1	
204010	35	30	700	90	40	None	1	
304010	40	30	700	90	40	None	1	
404010	45	30	700	90	40	None	1	
504010	30	50	700	90	40	None	1	
604010	35	50	700	90	40	None	1	
704010	40	50	700	90	40	None	1	
804010	45	50	700	90	40	None	1	
904010	30	70	700	90	40	None	1	
a04010	35	70	700	90	40	None	1	
b04010	40	70	700	90	40	None	1	
c04010	45	70	700	90	40	None	1	
105010	30	30	100	90	40	None	1	
205010	35	30	100	90	40	None	1	
305010	40	30	100	90	40	None	1	
405010	45	30	100	90	40	None	1	
505010	30	50	100	90	40	None	1	
605010	35	50	100	90	40	None	1	
705010	40	50	100	90	40	None	1	
805010	45	50	100	90	40	None	1	
905010	30	70	100	90	40	None	1	
a05010	35	70	100	90	40	None	1	
b05010	40	70	100	90	40	None	1	
c05010	45	70	100	90	40	None	1	
106010	30	30	300	90	40	None	1	
206010	35	30	300	90	40	None	1	
306010	40	30	300	90	40	None	1	
406010	45	30	300	90	40	None	1	
506010	30	50	300	90	40	None	1	
606010	35	50	300	90	40	None	1	
706010	40	50	300	90	40	None	1	
806010	45	50	300	90	40	None	1	
906010	30	70	300	90	40	None	1	
a06010	35	70	300	90	40	None	1	
b06010	40	70	300	90	40	None	1	
c06010	45	70	300	90	40	None	1	
107010	30	30	500	90	40	None	1	
207010	35	30	500	90	40	None	1	
307010	40	30	500	90	40	None	1	
407010	45	30	500	90	40	None	1	
507010	30	50	500	90	40	None	1	
607010	35	50	500	90	40	None	1	
707010	40	50	500	90	40	None	1	
807010	45	50	500	90	40	None	1	
907010	30	70	500	90	40	None	1	
a07010	35	70	500	90	40	None	1	
b07010	40	70	500	90	40	None	1	
c07010	45	70	500	90	40	None	1	
108010	30	30	700	90	40	None	1	
208010	35	30	700	90	40	None	1	
308010	40	30	700	90	40	None	1	
408010	45	30	700	90	40	None	1	
508010	30	50	700	90	40	None	1	
608010	35	50	700	90	40	None	1	
708010	40	50	700	90	40	None	1	
808010	45	50	700	90	40	None	1	
908010	30	70	700	90	40	None	1	
a08010	35	70	700	90	40	None	1	
b08010	40	70	700	90	40	None	1	
c08010	45	70	700	90	40	None	1	
109010	30	30	100	90	40	None	1	
209010	35	30	100	90	40	None	1	
309010	40	30	100	90	40	None	1	
409010	45	30	100	90	40	None	1	
509010	30	50	100	90	40	None	1	
609010	35	50	100	90	40	None	1	
709010	40	50	100	90	40	None	1	
809010	45	50	100	90	40	None	1	
909010	30	70	100	90	40	None	1	
a09010	35	70	100	90	40	None	1	
b09010	40	70	100	90	40	None	1	
c09010	45	70	100	90	40	None	1	
10a010	30	30	300	90	40	None	1	
20a010	35	30	300	90	40	None	1	
30a010	40	30	300	90	40	None	1	
40a010	45	30	300	90	40	None	1	
50a010	30	50	300	90	40	None	1	
60a010	35	50	300	90	40	None	1	
70a010	40	50	300	90	40	None	1	
80a010	45	50	300	90	40	None	1	
90a010	30	70	300	90	40	None	1	
a0a010	35	70	300	90	40	None	1	
b0a010	40	70	300	90	40	None	1	
c0a010	45	70	300	90	40	None	1	
10b010	30	30	500	90	40	None	1	
20b010	35	30	500	90	40	None	1	
30b010	40	30	500	90	40	None	1	
40b010	45	30	500	90	40	None	1	
50b010	30	50	500	90	40	None	1	
60b010	35	50	500	90	40	None	1	
70b010	40	50	500	90	40	None	1	
80b010	45	50	500	90	40	None	1	
90b010	30	70	500	90	40	None	1	
a0b010	35	70	500	90	40	None	1	
b0b010	40	70	500	90	40	None	1	
c0b010	45	70	500	90	40	None	1	
10c010	30	30	700	90	40	None	1	
20c010	35	30	700	90	40	None	1	
30c010	40	30	700	90	40	None	1	
40c010	45	30	700	90	40	None	1	
50c010	30	50	700	90	40	None	1	
60c010	35	50	700	90	40	None	1	
70c010	40	50	700	90	40	None	1	
80c010	45	50	700	90	40	None	1	
90c010	30	70	700	90	40	None	1	
a0c010	35	70	700	90	40	None	1	
b0c010	40	70	700	90	40	None	1	
c0c010	45	70	700	90	40	None	1	
